L9/OLI2 RSR			
converted to text file			
source: https://landsat.gsfc.nasa.gov/satellites/landsat-9/landsat-9-instruments/oli-2-design/oli-2-relative-spectral-response/			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
1.656	0.24553978	swir1	6
1.657	0.20748182	swir1	6
1.658	0.17609432	swir1	6
1.659	0.14815453	swir1	6
1.66	0.12629366	swir1	6
1.661	0.10593576	swir1	6
1.662	0.08847605	swir1	6
1.663	0.07402261	swir1	6
1.664	0.06265628	swir1	6
1.665	0.05266043	swir1	6
1.666	0.04443575	swir1	6
1.667	0.03732267	swir1	6
1.668	0.03176107	swir1	6
1.669	0.02672855	swir1	6
1.67	0.02271426	swir1	6
1.671	0.01926102	swir1	6
1.672	0.01647112	swir1	6
1.673	0.01399191	swir1	6
1.674	0.01196509	swir1	6
1.675	0.01046654	swir1	6
1.676	0.00944234	swir1	6
1.677	0.00835179	swir1	6
1.678	0.00720314	swir1	6
1.679	0.00619173	swir1	6
1.68	0.00537047	swir1	6
1.681	0.00465052	swir1	6
1.682	0.00405339	swir1	6
1.683	0.0035255	swir1	6
1.684	0.00308368	swir1	6
1.685	0.00269277	swir1	6
1.686	0.00236559	swir1	6
1.687	0.00207236	swir1	6
1.688	0.00182825	swir1	6
1.689	0.00160853	swir1	6
1.69	0.00142007	swir1	6
1.691	0.00126631	swir1	6
1.692	0.00112938	swir1	6
1.693	0.00100486	swir1	6
1.694	0.00090314	swir1	6
1.695	0.00080678	swir1	6
1.696	0.00073146	swir1	6
1.697	0.00065905	swir1	6
2.037	0.00100276	swir2	7
2.038	0.00104302	swir2	7
2.039	0.00109992	swir2	7
2.04	0.00115845	swir2	7
2.041	0.00122734	swir2	7
2.042	0.00129681	swir2	7
2.043	0.00137709	swir2	7
2.044	0.00145904	swir2	7
2.045	0.0015567	swir2	7
2.046	0.00165654	swir2	7
2.047	0.00177442	swir2	7
2.048	0.0018923	swir2	7
2.049	0.00203646	swir2	7
2.05	0.00218165	swir2	7
2.051	0.00234517	swir2	7
2.052	0.0025214	swir2	7
2.053	0.00272487	swir2	7
2.054	0.00293431	swir2	7
2.055	0.00318399	swir2	7
2.056	0.00343867	swir2	7
2.057	0.00373486	swir2	7
2.058	0.0040396	swir2	7
2.059	0.00440837	swir2	7
2.06	0.00477775	swir2	7
2.061	0.00522084	swir2	7
2.062	0.00566917	swir2	7
2.063	0.00622531	swir2	7
2.064	0.00679017	swir2	7
2.065	0.00749193	swir2	7
2.066	0.00819369	swir2	7
2.067	0.00880615	swir2	7
2.068	0.00943206	swir2	7
2.069	0.01050554	swir2	7
2.07	0.01157901	swir2	7
2.071	0.01266538	swir2	7
2.072	0.01378047	swir2	7
2.073	0.01552035	swir2	7
2.074	0.01726034	swir2	7
2.075	0.01900202	swir2	7
2.076	0.02074371	swir2	7
2.077	0.02340086	swir2	7
2.078	0.02618283	swir2	7
2.079	0.02920399	swir2	7
2.08	0.0322929	swir2	7
2.081	0.03595484	swir2	7
2.082	0.03991824	swir2	7
2.083	0.04499807	swir2	7
2.084	0.05056739	swir2	7
2.085	0.05656623	swir2	7
2.086	0.06276533	swir2	7
2.087	0.07099935	swir2	7
2.088	0.07984023	swir2	7
2.089	0.09018464	swir2	7
2.09	0.1011311	swir2	7
2.091	0.1130442	swir2	7
2.092	0.12531833	swir2	7
2.093	0.14104207	swir2	7
2.094	0.15772916	swir2	7
2.095	0.17846316	swir2	7
2.096	0.19946745	swir2	7
2.097	0.22195263	swir2	7
2.098	0.24493155	swir2	7
2.099	0.27459398	swir2	7
2.1	0.30581087	swir2	7
2.101	0.33765897	swir2	7
2.102	0.36978662	swir2	7
2.103	0.40613315	swir2	7
2.104	0.4434717	swir2	7
2.105	0.48442909	swir2	7
2.106	0.52639425	swir2	7
2.107	0.55868477	swir2	7
2.108	0.59015769	swir2	7
2.109	0.62845188	swir2	7
2.11	0.67081827	swir2	7
2.111	0.70369262	swir2	7
2.112	0.73118645	swir2	7
2.113	0.7561571	swir2	7
2.114	0.7799347	swir2	7
2.115	0.80423528	swir2	7
2.116	0.82853574	swir2	7
2.117	0.84607869	swir2	7
2.118	0.86023945	swir2	7
2.119	0.86919415	swir2	7
2.12	0.88100129	swir2	7
2.121	0.89042884	swir2	7
2.122	0.89982301	swir2	7
2.123	0.90695715	swir2	7
2.124	0.91398126	swir2	7
2.125	0.91721064	swir2	7
2.126	0.92048544	swir2	7
2.127	0.92542076	swir2	7
2.128	0.92985046	swir2	7
2.129	0.93153703	swir2	7
2.13	0.93249965	swir2	7
2.131	0.93463236	swir2	7
2.132	0.93673027	swir2	7
2.133	0.9378534	swir2	7
2.134	0.93894368	swir2	7
2.135	0.94098628	swir2	7
2.136	0.94262463	swir2	7
2.137	0.94227535	swir2	7
2.138	0.9423033	swir2	7
2.139	0.94379717	swir2	7
2.14	0.94515347	swir2	7
2.141	0.94504112	swir2	7
2.142	0.94498247	swir2	7
2.143	0.94592953	swir2	7
2.144	0.94692481	swir2	7
2.145	0.94919229	swir2	7
2.146	0.95145994	swir2	7
2.147	0.95272231	swir2	7
2.148	0.95394844	swir2	7
2.149	0.95358199	swir2	7
2.15	0.95307189	swir2	7
2.151	0.95554107	swir2	7
2.152	0.95797873	swir2	7
2.153	0.95833826	swir2	7
2.154	0.95876426	swir2	7
2.155	0.95979828	swir2	7
2.156	0.96079904	swir2	7
2.157	0.96058774	swir2	7
2.158	0.96037638	swir2	7
2.159	0.96064055	swir2	7
2.16	0.96220273	swir2	7
2.161	0.96401131	swir2	7
2.162	0.96372789	swir2	7
2.163	0.96397525	swir2	7
2.164	0.96447343	swir2	7
2.165	0.96521795	swir2	7
2.166	0.9660756	swir2	7
2.167	0.96696723	swir2	7
2.168	0.96789074	swir2	7
2.169	0.96744436	swir2	7
2.17	0.96549106	swir2	7
2.171	0.96621031	swir2	7
2.172	0.96805149	swir2	7
2.173	0.96899831	swir2	7
2.174	0.96919876	swir2	7
2.175	0.96860504	swir2	7
2.176	0.96753544	swir2	7
2.177	0.96692026	swir2	7
2.178	0.96685123	swir2	7
2.179	0.96803194	swir2	7
2.18	0.96974194	swir2	7
2.181	0.97015101	swir2	7
2.182	0.97056007	swir2	7
2.183	0.97212642	swir2	7
2.184	0.97419846	swir2	7
2.185	0.97452831	swir2	7
2.186	0.97485834	swir2	7
2.187	0.97576022	swir2	7
2.188	0.9769215	swir2	7
2.189	0.9771384	swir2	7
2.19	0.97730094	swir2	7
2.191	0.97741669	swir2	7
2.192	0.97746247	swir2	7
2.193	0.97645605	swir2	7
2.194	0.97545022	swir2	7
2.195	0.97717029	swir2	7
2.196	0.97678941	swir2	7
2.197	0.97663635	swir2	7
2.198	0.97651941	swir2	7
2.199	0.97859836	swir2	7
2.2	0.98067731	swir2	7
2.201	0.98093402	swir2	7
2.202	0.9808982	swir2	7
2.203	0.98004782	swir2	7
2.204	0.98011398	swir2	7
2.205	0.97921491	swir2	7
2.206	0.97878832	swir2	7
2.207	0.97845	swir2	7
2.208	0.97681779	swir2	7
2.209	0.97705674	swir2	7
2.21	0.97879267	swir2	7
2.211	0.97907805	swir2	7
2.212	0.9780426	swir2	7
2.213	0.97847897	swir2	7
2.214	0.97736776	swir2	7
2.215	0.97698873	swir2	7
2.216	0.97670597	swir2	7
2.217	0.97656572	swir2	7
2.218	0.97742045	swir2	7
2.219	0.97710729	swir2	7
2.22	0.97625577	swir2	7
2.221	0.97609216	swir2	7
2.222	0.97645754	swir2	7
2.223	0.97678703	swir2	7
2.224	0.97713715	swir2	7
2.225	0.97934949	swir2	7
2.226	0.97878641	swir2	7
2.227	0.98002392	swir2	7
2.228	0.97969437	swir2	7
2.229	0.97947246	swir2	7
2.23	0.97958535	swir2	7
2.231	0.97973728	swir2	7
2.232	0.98007715	swir2	7
2.233	0.98041546	swir2	7
2.234	0.98075229	swir2	7
2.235	0.98121125	swir2	7
2.236	0.98180187	swir2	7
2.237	0.98325735	swir2	7
2.238	0.98485512	swir2	7
2.239	0.98458195	swir2	7
2.24	0.98573095	swir2	7
2.241	0.98682696	swir2	7
2.242	0.98753965	swir2	7
2.243	0.98808074	swir2	7
2.244	0.98795635	swir2	7
2.245	0.9888075	swir2	7
2.246	0.98895812	swir2	7
2.247	0.98889464	swir2	7
2.248	0.98786956	swir2	7
2.249	0.98677874	swir2	7
2.25	0.98517078	swir2	7
2.251	0.9837774	swir2	7
2.252	0.9826206	swir2	7
2.253	0.98161823	swir2	7
2.254	0.98062718	swir2	7
2.255	0.97954774	swir2	7
2.256	0.97850388	swir2	7
2.257	0.97752798	swir2	7
2.258	0.9764725	swir2	7
2.259	0.97541523	swir2	7
2.26	0.97554159	swir2	7
2.261	0.97751099	swir2	7
2.262	0.98016274	swir2	7
2.263	0.97513086	swir2	7
2.264	0.97495383	swir2	7
2.265	0.9752937	swir2	7
2.266	0.97618282	swir2	7
2.267	0.97859925	swir2	7
2.268	0.97964096	swir2	7
2.269	0.9807688	swir2	7
2.27	0.98314285	swir2	7
2.271	0.98586017	swir2	7
2.272	0.98965293	swir2	7
2.273	0.99181819	swir2	7
2.274	0.99376893	swir2	7
2.275	0.99618787	swir2	7
2.276	0.99796325	swir2	7
2.277	0.99923283	swir2	7
2.278	1	swir2	7
2.279	0.99792081	swir2	7
2.28	0.99446166	swir2	7
2.281	0.98581928	swir2	7
2.282	0.97574705	swir2	7
2.283	0.96128398	swir2	7
2.284	0.94335824	swir2	7
2.285	0.91998041	swir2	7
2.286	0.89376736	swir2	7
2.287	0.85915744	swir2	7
2.288	0.8235755	swir2	7
2.289	0.78115994	swir2	7
2.29	0.73678225	swir2	7
2.291	0.68822551	swir2	7
2.292	0.63962251	swir2	7
2.293	0.58982903	swir2	7
2.294	0.54092199	swir2	7
2.295	0.49226084	swir2	7
2.296	0.44587871	swir2	7
2.297	0.40125731	swir2	7
2.298	0.35893539	swir2	7
2.299	0.32148635	swir2	7
2.3	0.28420323	swir2	7
2.301	0.2523469	swir2	7
2.302	0.2255464	swir2	7
2.303	0.20149876	swir2	7
2.304	0.17846169	swir2	7
2.305	0.1584622	swir2	7
2.306	0.13879961	swir2	7
2.307	0.12371186	swir2	7
2.308	0.11006524	swir2	7
2.309	0.09831959	swir2	7
2.31	0.08718951	swir2	7
2.311	0.07798396	swir2	7
2.312	0.06932278	swir2	7
2.313	0.06206976	swir2	7
2.314	0.05512591	swir2	7
2.315	0.04944164	swir2	7
2.316	0.04455749	swir2	7
2.317	0.040062	swir2	7
2.318	0.03621278	swir2	7
2.319	0.03288715	swir2	7
2.32	0.02948643	swir2	7
2.321	0.02685629	swir2	7
2.322	0.02410637	swir2	7
2.323	0.02195595	swir2	7
2.324	0.0198522	swir2	7
2.325	0.0180521	swir2	7
2.326	0.01628702	swir2	7
2.327	0.01486861	swir2	7
2.328	0.01342942	swir2	7
2.329	0.0123302	swir2	7
2.33	0.01116003	swir2	7
2.331	0.01031453	swir2	7
2.332	0.00964784	swir2	7
2.333	0.00882719	swir2	7
2.334	0.00806936	swir2	7
2.335	0.00738959	swir2	7
2.336	0.00677839	swir2	7
2.337	0.00624485	swir2	7
2.338	0.00571132	swir2	7
2.339	0.00526846	swir2	7
2.34	0.00483111	swir2	7
2.341	0.00446368	swir2	7
2.342	0.00409824	swir2	7
2.343	0.00378863	swir2	7
2.344	0.00348159	swir2	7
2.345	0.00322292	swir2	7
2.346	0.00296733	swir2	7
2.347	0.00275285	swir2	7
2.348	0.00254073	swir2	7
2.349	0.00236097	swir2	7
2.35	0.0021844	swir2	7
2.351	0.00203332	swir2	7
