L8/OLI RSR			
converted to text file			
source: https://landsat.gsfc.nasa.gov/satellites/landsat-8/spacecraft-instruments/operational-land-imager/spectral-response-of-the-operational-land-imager-in-band-band-average-relative-spectral-response/			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
0.856	0.973133	Nir	5
0.857	0.980606	Nir	5
0.858	0.99612	Nir	5
0.859	1	Nir	5
0.86	0.989777	Nir	5
0.861	0.980733	Nir	5
0.862	0.975935	Nir	5
0.863	0.972043	Nir	5
0.864	0.957357	Nir	5
0.865	0.951209	Nir	5
0.866	0.947044	Nir	5
0.867	0.953162	Nir	5
0.868	0.951499	Nir	5
0.869	0.94845	Nir	5
0.87	0.940094	Nir	5
0.871	0.950632	Nir	5
0.872	0.956079	Nir	5
0.873	0.96646	Nir	5
0.874	0.969821	Nir	5
0.875	0.93661	Nir	5
0.876	0.891066	Nir	5
0.877	0.788733	Nir	5
0.878	0.63532	Nir	5
0.879	0.448364	Nir	5
0.88	0.288847	Nir	5
0.881	0.174619	Nir	5
0.882	0.100343	Nir	5
0.883	0.058265	Nir	5
0.884	0.034532	Nir	5
0.885	0.02072	Nir	5
0.886	0.01244	Nir	5
0.887	0.007601	Nir	5
0.888	0.004702	Nir	5
0.889	0.002944	Nir	5
0.89	0.00187	Nir	5
0.891	0.001192	Nir	5
0.892	0.000743	Nir	5
0.893	0.000423	Nir	5
0.894	0.000241	Nir	5
0.895	0.000116	Nir	5
0.896	0.000044	Nir	5
0.897	-0.000013	Nir	5
0.898	-0.00005	Nir	5
0.899	-0.000084	Nir	5
0.9	-0.0001	Nir	5
1.515	-0.000016	swir1	6
1.516	0.000067	swir1	6
1.517	0.000151	swir1	6
1.518	0.000249	swir1	6
1.519	0.000348	swir1	6
1.52	0.000466	swir1	6
1.521	0.000585	swir1	6
1.522	0.000758	swir1	6
1.523	0.000932	swir1	6
1.524	0.00115	swir1	6
1.525	0.001369	swir1	6
1.526	0.001613	swir1	6
1.527	0.001859	swir1	6
1.528	0.002172	swir1	6
1.529	0.002488	swir1	6
1.53	0.002881	swir1	6
1.531	0.003277	swir1	6
1.532	0.003772	swir1	6
1.533	0.004271	swir1	6
1.534	0.004898	swir1	6
1.535	0.005528	swir1	6
1.536	0.006421	swir1	6
1.537	0.007319	swir1	6
1.538	0.008459	swir1	6
1.539	0.009606	swir1	6
1.54	0.010989	swir1	6
1.541	0.012372	swir1	6
1.542	0.014303	swir1	6
1.543	0.016248	swir1	6
1.544	0.019029	swir1	6
1.545	0.021831	swir1	6
1.546	0.02589	swir1	6
1.547	0.029952	swir1	6
1.548	0.035171	swir1	6
1.549	0.040434	swir1	6
1.55	0.047864	swir1	6
1.551	0.055352	swir1	6
1.552	0.065732	swir1	6
1.553	0.076166	swir1	6
1.554	0.089024	swir1	6
1.555	0.101893	swir1	6
1.556	0.12015	swir1	6
1.557	0.138642	swir1	6
1.558	0.163127	swir1	6
1.559	0.187803	swir1	6
1.56	0.220261	swir1	6
1.561	0.252894	swir1	6
1.562	0.291359	swir1	6
1.563	0.329939	swir1	6
1.564	0.375648	swir1	6
1.565	0.42147	swir1	6
1.566	0.47356	swir1	6
1.567	0.525681	swir1	6
1.568	0.578787	swir1	6
1.569	0.631645	swir1	6
1.57	0.676683	swir1	6
1.571	0.721282	swir1	6
1.572	0.75477	swir1	6
1.573	0.788248	swir1	6
1.574	0.821155	swir1	6
1.575	0.854065	swir1	6
1.576	0.87337	swir1	6
1.577	0.89183	swir1	6
