S2A/MSI RSR			
converted to text file			
source: https://sentinels.copernicus.eu/web/sentinel/user-guides/sentinel-2-msi/document-library/-/asset_publisher/Wk0TKajiISaR/content/sentinel-2a-spectral-responses			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
0.796	0.02736551	B7	7
0.797	0.00516235	B7	7
0.76	0.00067259	B8	8
0.761	0.00388856	B8	8
0.762	0	B8	8
0.763	0	B8	8
0.764	0	B8	8
0.765	0	B8	8
0.766	0	B8	8
0.767	0	B8	8
0.768	0	B8	8
0.769	0	B8	8
0.77	0	B8	8
0.771	0	B8	8
0.772	0	B8	8
0.773	0.00028956	B8	8
0.774	0.00702964	B8	8
0.775	0.01752391	B8	8
0.776	0.03231111	B8	8
0.777	0.05328661	B8	8
0.778	0.08299885	B8	8
0.779	0.12748502	B8	8
0.78	0.19591065	B8	8
0.781	0.30246323	B8	8
0.782	0.43553954	B8	8
0.783	0.57141637	B8	8
0.784	0.69766701	B8	8
0.785	0.80303852	B8	8
0.786	0.89115744	B8	8
0.787	0.95284584	B8	8
0.788	0.98894161	B8	8
0.789	1	B8	8
0.79	0.98840653	B8	8
0.791	0.96389216	B8	8
0.792	0.94207967	B8	8
0.793	0.93694643	B8	8
0.794	0.94227343	B8	8
0.795	0.95395718	B8	8
0.796	0.96828896	B8	8
0.797	0.97966549	B8	8
0.798	0.9854444	B8	8
0.799	0.98592681	B8	8
0.8	0.98391181	B8	8
0.801	0.97793903	B8	8
0.802	0.97722771	B8	8
0.803	0.97810609	B8	8
0.804	0.98144486	B8	8
0.805	0.98764558	B8	8
0.806	0.98857708	B8	8
0.807	0.9862422	B8	8
0.808	0.98070921	B8	8
0.809	0.97078624	B8	8
0.81	0.95721089	B8	8
0.811	0.93865821	B8	8
0.812	0.91672388	B8	8
0.813	0.89620759	B8	8
0.814	0.872888	B8	8
0.815	0.85160331	B8	8
0.816	0.8246394	B8	8
0.817	0.80078117	B8	8
0.818	0.7823386	B8	8
0.819	0.76360274	B8	8
0.82	0.74962771	B8	8
0.821	0.7387221	B8	8
0.822	0.73079407	B8	8
0.823	0.72271237	B8	8
0.824	0.72507708	B8	8
0.825	0.72563856	B8	8
0.826	0.72304217	B8	8
0.827	0.72229211	B8	8
0.828	0.71616364	B8	8
0.829	0.71159446	B8	8
0.83	0.70826954	B8	8
0.831	0.70157205	B8	8
0.832	0.69924532	B8	8
0.833	0.70093762	B8	8
0.834	0.70692733	B8	8
0.835	0.71824001	B8	8
0.836	0.73124634	B8	8
0.837	0.7484061	B8	8
0.838	0.76818541	B8	8
0.839	0.78394807	B8	8
0.84	0.7968381	B8	8
0.841	0.80260206	B8	8
0.842	0.8045194	B8	8
0.843	0.80240918	B8	8
0.844	0.79699072	B8	8
0.845	0.78920304	B8	8
0.846	0.77691621	B8	8
0.847	0.76518406	B8	8
0.848	0.75119717	B8	8
0.849	0.73700357	B8	8
0.85	0.72262399	B8	8
0.851	0.70412578	B8	8
0.852	0.68410805	B8	8
0.853	0.66474528	B8	8
0.854	0.64736891	B8	8
0.855	0.63005125	B8	8
0.856	0.61564222	B8	8
0.857	0.60249557	B8	8
0.858	0.58988992	B8	8
0.859	0.57993399	B8	8
0.86	0.57136506	B8	8
0.861	0.56094242	B8	8
0.862	0.55235105	B8	8
0.863	0.54568236	B8	8
0.864	0.53958052	B8	8
0.865	0.53510215	B8	8
0.866	0.53093675	B8	8
0.867	0.53016508	B8	8
0.868	0.52984662	B8	8
0.869	0.53036682	B8	8
0.87	0.53211463	B8	8
0.871	0.53271918	B8	8
0.872	0.53246806	B8	8
0.873	0.53331158	B8	8
0.874	0.5319278	B8	8
0.875	0.53051055	B8	8
0.876	0.52951499	B8	8
0.877	0.52996848	B8	8
0.878	0.53253373	B8	8
0.879	0.53705085	B8	8
0.88	0.54235344	B8	8
0.881	0.54912497	B8	8
0.882	0.55523055	B8	8
0.883	0.56011135	B8	8
0.884	0.55767999	B8	8
0.885	0.54821984	B8	8
0.886	0.53144613	B8	8
0.887	0.50763528	B8	8
0.888	0.47811224	B8	8
0.889	0.45092793	B8	8
0.89	0.42798466	B8	8
0.891	0.41051405	B8	8
0.892	0.40039139	B8	8
0.893	0.40087302	B8	8
0.894	0.40829375	B8	8
